标题,链接,时间（年份）,简介,种类
赛尔原创@COLING24 ｜无需标注即可增强模型 COT 能力,https://mp.weixin.qq.com/s/jdyKSzkJ7FyZYmwDVlGk8Q,2024/05/13,论文名称：Improving Language Model Reasoning with Self-motivated Learning论文作者：冯云龙，徐阳，覃立波，王雅圣，车万翔* Arxiv：https://arxiv.org/abs/2404.07017 原创作者：冯云龙转载须标注出处：哈工大SCIR,论文推荐
青春的选择丨哈工大这个团队立于生成式AI潮头！,https://mp.weixin.qq.com/s/hnsQT25dAvkkuBSqbE6RpA,2024/05/17,哈工大社会计算与信息检索博士生团队荣获哈工大学生五四奖章！社会计算与信息检索博士生团队是一支年轻的科研队伍，在刘挺、秦兵教授的带领下，团队始终瞄准行业前沿，不断探索未来科技的新边界。,学生获奖
哈工大SCIR 20篇长文被ACL 2024主会/Findings录用,https://mp.weixin.qq.com/s/-p3nCjQzYsJQVCdBiy0thg,2024/05/20,ACL 2024 将于2024年8月11-16日在泰国曼谷举行。ACL年会是计算语言学和自然语言处理领域最重要的顶级国际会议，CCF A类会议，由计算语言学协会主办，每年举办一次。其接收的论文覆盖了对话交互系统、语义分析、摘要生成、信息抽取、问答系统、文本挖掘、机器翻译、语篇语用学、情感分析和意见挖掘、社会计算等自然语言处理领域众多研究方向。,论文发表
赛尔原创@COLING24 ｜即插即用！自动提取领域相关特征提升泛化能力,https://mp.weixin.qq.com/s/bM3Um5wMMjgCNlSEwdYgtw,2024/06/04,论文名称：A Two-Stage Framework with Self-Supervised Distillation For Cross-Domain Text Classification论文作者：冯云龙，李博涵，覃立波，徐啸，车万翔*Arxiv: https://arxiv.org/abs/2304.09820原创作者：冯云龙转载须标注出处：哈工大SCIR,论文推荐
赛尔笔记 | 大模型上下文长度扩展中的检索增强技术简述,https://mp.weixin.qq.com/s/S69fHfDIjfTL9maYS9HrXQ,2024/06/29,基于Transformer的语言模型在众多自然语言处理任务上都取得了十分优异的成绩，在一些任务上已经达到SOTA的效果。但是，经过预训练后，模型能够较好处理的序列长度就固定下来。而当前的众多场景往往需要处理很长的上下文（如：大的代码仓库、书籍等长文档的摘要、few-shot等输入较长的in-context learning场景等等），其长度超过了模型预训练时使用的长度，无法一次性输入模型，导致语言模型无法充分利用长输入中完整的知识，因而性能受到制约。针对这一问题，研究者们提出了多种检索的方法，从全部的历史上文中检索所需的相关token，放入有限的窗口内计算attention，使得模型能够利用短的输入窗口处理长的序列。,论文推荐
新闻 | 第三届HIT-SCIR&THUNLP&FudanNLP学术联谊会成功举办,https://mp.weixin.qq.com/s/3l7HAdBpYMRerZLsGkHWQQ,2024/07/23,2024年7月17日，第三届哈尔滨工业大学社会计算与信息检索研究中心（HIT-SCIR）、清华大学自然语言处理与社会人文计算实验室（THUNLP）、复旦大学自然语言处理实验室（FudanNLP）三校学术联谊会于哈尔滨成功举办。哈工大SCIR车万翔、刘铭、赵妍妍、张伟男、丁效、赵森栋、朱庆福、张羽；清华大学THUNLP刘洋、韩旭；复旦大学FudanNLP张奇、魏忠钰；西湖大学张岳等老师出席本次学术联谊会，三校师生共162人参会。本次活动由哈工大SCIR车万翔教授、清华大学THUNLP刘知远副教授以及复旦大学FudanNLP邱锡鹏教授联合发起，哈工大博士生刘元兴、王昊淳、蔡碧波，清华大学博士生余天予，复旦大学博士生印张悦等同学负责了现场主持工作。,学术交流
哈工大SCIR车万翔教授当选ACL 2025程序委员会主席,https://mp.weixin.qq.com/s/qGnv0tKZO-bF39sFRjBKVw,2024/08/20,近日，哈工大社会计算与信息检索研究中心（HIT-SCIR）车万翔教授被推选为第63届国际计算语言学学会（Association for Computational Linguistics ACL）学术年会（简称 ACL 2025）程序委员会共同主席。,教师表彰
哈工大开源“活字3.5”对话大模型,https://mp.weixin.qq.com/s/y0oIvh5dncVzDnFdm323Eg,2024/09/12,大规模语言模型（LLM）在自然语言处理领域取得了显著的进展，并在广泛的应用场景中展现了其强大的潜力。这一技术不仅吸引了学术界的广泛关注，也成为了工业界的热点。在此背景下，哈尔滨工业大学社会计算与信息检索研究中心（HIT-SCIR）近期推出了最新成果——活字3.5，致力于为自然语言处理的研究和实际应用提供更多可能性和选择。我们的模型发布于：https://github.com/HIT-SCIR/huozi,工程项目
哈工大发布“珠算”代码大模型,https://mp.weixin.qq.com/s/T24_U-aR1WuwQh9iDjCWCg,2024/09/17,从DeepMind发布的AlphaCode在竞赛级编程能力上超越人类平均水平之日起，代码大模型便广受关注。与此同时，OpenAI发布的CodeX更是展示出了代码大模型具有超越传统编程范畴的数值推理、逻辑推断、工具调用等高阶能力，进一步引爆了对该领域的研究与讨论。以BigCode StarCoder为代表的开源项目对完善该领域的研究生态做出了卓越的贡献。然而，目前开源代码大模型提升编程能力的同时会严重损害通用语言能力。为此，哈尔滨工业大学社会计算与信息检索研究中心（HIT-SCIR）推出了“珠算”代码大模型，其以2.7B参数在代码与通用语言平均性能上均超越了DeepSeek-Coder-1.3B、Yi-Coder-1.5B、Stable Code-3B、Granite-3B-Code等参数量3B及以下的代码大模型，希望通过开放权重、训练细节以及配套的微调适配平台与插件，助力开源社区的发展。相关资源详见：https://github.com/HIT-SCIR/Abacus,工程项目
哈工大SCIR 14篇长文被EMNLP 2024主会/Findings录用,https://mp.weixin.qq.com/s/vngsOKWvQqFW4nDEXkbdFA,2024/09/25,EMNLP 2024（The 2024 Conference on Empirical Methods in Natural Language Processing）计划于2024年11月12日至11月16日在美国佛罗里达州迈阿密召开。EMNLP是自然语言处理领域顶级国际会议之一，CCF B类会议，其涉及领域包括但不限于机器翻译、文本生成、文本分类、信息抽取、问答系统、语言模型等研究方向。哈尔滨工业大学社会计算与信息检索研究中心有14篇长文被录用，其中7篇被主会录用，7篇被Findings of EMNLP录用。,论文发表
哈工大SCIR 9篇论文被 NeurIPS 2024录用,https://mp.weixin.qq.com/s/TIdJkNoCOC9V9-nhshtyMA,2024/09/29,神经信息处理系统大会（Conference on Neural Information Processing Systems，简称 NeurIPS）是机器学习领域最权威的会议之一，与 ICML、ICLR 并列为机器学习三大顶级会议，也是中国计算机学会推荐的 A 类会议。今年的会议 NeurIPS 2024 将于 12 月 9 日至 15 日在加拿大温哥华的 Vancouver Convention Center 举行，大会总共收到了 15671 篇有效投稿，最终录用率为 25.8%。哈尔滨工业大学社会计算与信息检索研究中心有9篇论文被录用，其中2篇被接收为oral，1篇被接收为spotlight，其余6篇为常规长文。,论文发表
今天，哈工大再获国家表彰！,https://mp.weixin.qq.com/s/Hjw7GNXU3Xv6gq-phIXGGg,2024/09/30,哈尔滨工业大学社会计算与信息检索研究中心博士毕业生曲咏措姆创办的“曲拥措姆志愿服务工作室”荣获全国民族团结进步模范集体。,学生获奖
哈工大SCIR 8篇长文被 COLING 2025录用,https://mp.weixin.qq.com/s/MCApZ3uiHJknP4kS7NsnFw,2024/12/09,COLING 2025是由国际计算语言学委员会（ICCL）组织的CCF B类国际会议。此次会议计划于2025年1月19日至1月24日在阿联酋阿布扎比的国家展览中心举行。该会议涉及领域包括但不限于文本推理、语言模型、视觉、高效NLP方法、语义解析等研究方向。,论文发表
